"age" "gender" "attitude" "points" "deep" "stra" "surf"
"61" 21 "F" 4 33 4.25 3.625 2.25
"62" 21 "F" 4.7 25 3.41666666666667 3.625 2.08333333333333
"63" 26 "F" 2.3 18 3.08333333333333 2.5 2.83333333333333
"64" 25 "F" 3.1 22 4.58333333333333 1.875 2.83333333333333
"65" 26 "F" 2.7 17 3.41666666666667 2 2.41666666666667
"66" 21 "M" 4.1 25 3.41666666666667 1.875 2.25
"67" 23 "F" 3.4 28 3.41666666666667 4 2.83333333333333
"68" 22 "F" 2.5 22 3.58333333333333 2.875 2.25
"69" 22 "F" 2.1 26 1.58333333333333 3.875 1.83333333333333
"70" 22 "F" 1.4 11 3.33333333333333 2.5 2.91666666666667
"71" 23 "F" 1.9 29 4.33333333333333 2.75 2.91666666666667
"72" 22 "M" 3.7 22 4.41666666666667 4.5 2.08333333333333
"73" 23 "M" 3.2 21 4.83333333333333 3.375 2.33333333333333
"74" 24 "M" 2.8 28 3.08333333333333 2.625 2.41666666666667
"75" 22 "F" 4.1 33 3 4.125 2.75
"76" 23 "F" 2.5 16 4.08333333333333 2.625 3.25
"77" 22 "M" 2.8 31 4.08333333333333 2.25 1.75
"78" 20 "M" 3.8 22 3.75 2.75 2.58333333333333
"79" 22 "M" 3.1 31 3.08333333333333 3 3.33333333333333
"80" 21 "M" 3.5 23 4.75 1.625 2.83333333333333
"81" 22 "F" 3.6 26 4.25 1.875 2.5
"82" 23 "F" 2.6 12 4.16666666666667 3.375 2.41666666666667
"83" 21 "M" 4.4 26 4.41666666666667 3.75 2.41666666666667
"84" 22 "M" 4.5 31 3.83333333333333 2.125 2.58333333333333
"85" 29 "M" 3.2 19 3.33333333333333 2.375 3
"86" 29 "F" 3.9 30 3.16666666666667 2.75 2
"87" 21 "F" 2.5 12 3.16666666666667 3.125 3.41666666666667
"88" 28 "M" 3.3 17 3.83333333333333 3.5 2.83333333333333
"89" 21 "F" 3.3 18 4.25 2.625 2.25
"90" 30 "F" 3 19 3.83333333333333 3.375 2.75
"91" 21 "F" 2.9 21 3.66666666666667 2.25 3.91666666666667
"92" 23 "M" 3.3 24 3.83333333333333 3 2.33333333333333
"93" 21 "F" 3.3 28 3.83333333333333 4 2.75
"94" 21 "F" 3.5 17 3.83333333333333 3.5 2.75
"95" 20 "F" 3.6 18 3.66666666666667 2.625 2.91666666666667
"96" 22 "M" 3.7 17 4.33333333333333 2.5 2.08333333333333
"97" 21 "M" 4.2 23 3.75 3.75 3.66666666666667
"98" 21 "M" 3.2 26 4.16666666666667 3.625 2.83333333333333
"99" 20 "F" 5 28 4 4.125 3.41666666666667
"100" 22 "M" 4.7 31 4 4.375 1.58333333333333
"101" 20 "F" 3.6 27 4.58333333333333 2.625 2.91666666666667
"102" 20 "F" 3.6 25 3.66666666666667 4 3
"103" 24 "M" 2.9 23 3.66666666666667 2.75 2.91666666666667
"104" 20 "F" 3.5 21 3.83333333333333 2.75 2.66666666666667
"105" 19 "F" 4 27 2.58333333333333 1.375 3
"106" 21 "F" 3.5 28 3.5 2.25 2.75
"107" 21 "F" 3.2 23 3.08333333333333 3.625 3.08333333333333
"108" 22 "F" 2.6 21 4.25 3.75 2.5
"109" 25 "F" 2 25 3.16666666666667 4 2.33333333333333
"110" 21 "F" 2.7 11 3.08333333333333 3.125 3
"111" 22 "F" 3.2 19 4.16666666666667 3.25 3
"112" 25 "F" 3.3 24 2.25 2.125 4
"113" 20 "F" 3.9 28 3.33333333333333 2.875 3.25
"114" 24 "M" 3.3 21 3.08333333333333 1.5 3.5
"115" 20 "F" 3 24 2.75 2.5 3.5
"116" 21 "M" 3.7 24 3.25 3.25 3.83333333333333
"117" 20 "F" 2.5 20 4 3.625 2.91666666666667
"118" 20 "F" 2.9 19 3.58333333333333 3.875 2.16666666666667
"119" 31 "M" 3.9 30 4.08333333333333 3.875 1.66666666666667
"120" 20 "F" 3.6 22 4.25 2.375 2.08333333333333
"121" 22 "F" 2.9 16 3.41666666666667 3 2.83333333333333
"122" 22 "F" 2.1 16 3.08333333333333 3.375 3.41666666666667
"123" 21 "M" 3.1 19 3.5 2.75 3.33333333333333
"124" 22 "M" 4 30 3.66666666666667 4.5 2.58333333333333
"125" 21 "F" 3.1 23 4.25 2.625 2.83333333333333
"126" 21 "F" 2.3 19 4.25 2.75 3.33333333333333
"127" 21 "F" 2.8 18 3.83333333333333 3.25 3
"128" 21 "F" 3.7 28 4.41666666666667 4.125 2.58333333333333
"129" 20 "F" 2.6 21 3.5 3.375 2.41666666666667
"130" 21 "F" 2.4 19 3.58333333333333 2.75 3.58333333333333
"131" 25 "F" 3 27 3.66666666666667 4.125 2.08333333333333
"132" 21 "M" 2.8 24 2.08333333333333 3.25 4.33333333333333
"133" 24 "F" 2.9 21 4.25 2.875 2.66666666666667
"134" 20 "F" 2.4 20 3.58333333333333 2.875 3
"135" 21 "M" 3.1 28 4 2.375 2.66666666666667
"136" 20 "F" 1.9 12 3.33333333333333 3.875 2.16666666666667
"137" 20 "F" 2 21 3.5 2.125 2.66666666666667
"138" 18 "F" 3.8 28 3.16666666666667 4 2.25
"139" 21 "F" 3.4 31 3.58333333333333 3.25 2.66666666666667
"140" 19 "F" 3.7 18 3.41666666666667 2.625 3.33333333333333
"141" 21 "F" 2.9 25 4.25 2.75 3.5
"142" 20 "F" 2.3 19 3.25 4 2.75
"143" 21 "M" 4.1 21 4.41666666666667 3 2
"144" 20 "F" 2.7 16 3.25 3.375 2.83333333333333
"145" 21 "F" 3.5 7 3.91666666666667 3.875 3.5
"146" 20 "F" 3.4 21 3.58333333333333 3.25 2.5
"147" 18 "F" 3.2 17 4.5 3.375 3.16666666666667
"148" 22 "M" 3.3 22 3.58333333333333 4.125 3.08333333333333
"149" 22 "F" 3.3 18 3.66666666666667 3.5 2.91666666666667
"150" 24 "M" 3.5 25 2.58333333333333 2 3.16666666666667
"151" 19 "F" 3.2 24 4.16666666666667 3.625 2.5
"152" 20 "F" 3.1 23 3.25 3.375 3.83333333333333
"153" 20 "F" 2.8 23 4.33333333333333 2.125 2.25
"154" 17 "F" 1.7 26 3.91666666666667 4.625 3.41666666666667
"155" 19 "M" 1.9 12 2.66666666666667 2.5 3.75
"156" 20 "F" 3.5 32 3.08333333333333 2.875 3
"157" 20 "F" 2.4 22 3.75 2.75 2.58333333333333
"158" 20 "F" 2.1 20 4.16666666666667 4 3.33333333333333
"159" 20 "F" 2.9 21 4.16666666666667 2.375 2.83333333333333
"160" 19 "F" 1.9 23 3.25 3.875 3
"161" 19 "F" 2 20 4.08333333333333 3.375 2.83333333333333
"162" 22 "F" 4.2 28 2.91666666666667 1.75 3.16666666666667
"163" 35 "M" 4.1 31 3.83333333333333 3 2.75
"164" 18 "F" 3.7 18 3.16666666666667 2.625 3.41666666666667
"165" 19 "F" 3.6 30 3.41666666666667 2.625 3
"166" 21 "M" 1.8 19 4.08333333333333 3.375 2.66666666666667
